date,county,fips,confirmed,deaths
4/4/2020,Niagara,0500000US36063,103,0
4/4/2020,Oneida,0500000US36065,80,2
4/4/2020,Onondaga,0500000US36067,349,4
4/4/2020,Ontario,0500000US36069,35,0
4/4/2020,Orange,0500000US36071,2741,51
4/4/2020,Orleans,0500000US36073,10,0
4/4/2020,Oswego,0500000US36075,30,2
4/4/2020,Otsego,0500000US36077,26,2
4/4/2020,Putnam,0500000US36079,283,9
4/4/2020,Rensselaer,0500000US36083,73,1
4/4/2020,Rockland,0500000US36087,4872,69
4/4/2020,Saratoga,0500000US36091,141,1
4/4/2020,Schenectady,0500000US36093,117,6
4/4/2020,Schoharie,0500000US36095,11,0
4/4/2020,Schuyler,0500000US36097,4,0
4/4/2020,Seneca,0500000US36099,6,0
4/4/2020,St. Lawrence,0500000US36089,58,0
4/4/2020,Steuben,0500000US36101,64,1
4/4/2020,Suffolk,0500000US36103,12328,175
4/4/2020,Sullivan,0500000US36105,193,5
4/4/2020,Tioga,0500000US36107,8,0
4/4/2020,Tompkins,0500000US36109,87,0
4/4/2020,Ulster,0500000US36111,318,4
4/4/2020,Unknown,0500000US,0,309
4/4/2020,Warren,0500000US36113,20,1
4/4/2020,Washington,0500000US36115,17,1
4/4/2020,Wayne,0500000US36117,30,0
4/4/2020,Westchester,0500000US36119,13080,197
4/4/2020,Wyoming,0500000US36121,18,1
4/4/2020,Yates,0500000US36123,2,0
4/5/2020,Albany,0500000US36001,305,8
4/5/2020,Allegany,0500000US36003,16,1
4/5/2020,Broome,0500000US36007,71,4
4/5/2020,Cattaraugus,0500000US36009,10,0
4/5/2020,Cayuga,0500000US36011,8,0
4/5/2020,Chautauqua,0500000US36013,12,0
4/5/2020,Chemung,0500000US36015,38,0
4/5/2020,Chenango,0500000US36017,43,0
4/5/2020,Clinton,0500000US36019,33,0
4/5/2020,Columbia,0500000US36021,61,3
4/5/2020,Cortland,0500000US36023,14,0
4/5/2020,Delaware,0500000US36025,30,1
4/5/2020,Dutchess,0500000US36027,1077,11
4/5/2020,Erie,0500000US36029,1059,27
4/5/2020,Essex,0500000US36031,7,0
4/5/2020,Franklin,0500000US36033,10,0
4/5/2020,Fulton,0500000US36035,9,0
4/5/2020,Genesee,0500000US36037,22,1
4/5/2020,Greene,0500000US36039,27,0
4/5/2020,Hamilton,0500000US36041,2,0
4/5/2020,Herkimer,0500000US36043,22,3
4/5/2020,Jefferson,0500000US36045,26,0
4/5/2020,Lewis,0500000US36049,8,0
4/5/2020,Livingston,0500000US36051,19,1
4/5/2020,Madison,0500000US36053,89,2
4/5/2020,Monroe,0500000US36055,548,19
4/5/2020,Montgomery,0500000US36057,15,1
4/5/2020,Nassau,0500000US36059,14398,396
4/5/2020,New York City,0500000US,67552,2472
4/5/2020,Niagara,0500000US36063,116,0
4/5/2020,Oneida,0500000US36065,87,2
4/5/2020,Onondaga,0500000US36067,349,4
4/5/2020,Ontario,0500000US36069,35,0
4/5/2020,Orange,0500000US36071,3102,51
4/5/2020,Orleans,0500000US36073,11,0
4/5/2020,Oswego,0500000US36075,30,2
4/5/2020,Otsego,0500000US36077,29,2
4/5/2020,Putnam,0500000US36079,314,9
4/5/2020,Rensselaer,0500000US36083,74,1
4/5/2020,Rockland,0500000US36087,5362,69
4/5/2020,Saratoga,0500000US36091,148,1
4/5/2020,Schenectady,0500000US36093,128,7
4/5/2020,Schoharie,0500000US36095,11,0
4/5/2020,Schuyler,0500000US36097,4,0
4/5/2020,Seneca,0500000US36099,9,0
4/5/2020,St. Lawrence,0500000US36089,58,0
4/5/2020,Steuben,0500000US36101,64,1
4/5/2020,Suffolk,0500000US36103,12933,175
4/5/2020,Sullivan,0500000US36105,234,5
4/5/2020,Tioga,0500000US36107,8,0
4/5/2020,Tompkins,0500000US36109,95,0
4/5/2020,Ulster,0500000US36111,358,4
4/5/2020,Unknown,0500000US,0,678
4/5/2020,Warren,0500000US36113,25,1
4/5/2020,Washington,0500000US36115,18,1
4/5/2020,Wayne,0500000US36117,32,0
4/5/2020,Westchester,0500000US36119,13722,197
4/5/2020,Wyoming,0500000US36121,22,1
4/5/2020,Yates,0500000US36123,2,0
4/6/2020,Albany,0500000US36001,319,9
4/6/2020,Allegany,0500000US36003,17,1
4/6/2020,Broome,0500000US36007,76,5
4/6/2020,Cattaraugus,0500000US36009,15,0
4/6/2020,Cayuga,0500000US36011,11,1
4/6/2020,Chautauqua,0500000US36013,15,0
4/6/2020,Chemung,0500000US36015,47,0
4/6/2020,Chenango,0500000US36017,46,0
4/6/2020,Clinton,0500000US36019,36,0
4/6/2020,Columbia,0500000US36021,70,3
4/6/2020,Cortland,0500000US36023,15,0
4/6/2020,Delaware,0500000US36025,32,1
4/6/2020,Dutchess,0500000US36027,1189,12
4/6/2020,Erie,0500000US36029,1163,30
4/6/2020,Essex,0500000US36031,7,0
4/6/2020,Franklin,0500000US36033,10,0
4/6/2020,Fulton,0500000US36035,9,0
4/6/2020,Genesee,0500000US36037,23,1
4/6/2020,Greene,0500000US36039,27,0
4/6/2020,Hamilton,0500000US36041,2,0
4/6/2020,Herkimer,0500000US36043,25,3
4/6/2020,Jefferson,0500000US36045,33,0
4/6/2020,Lewis,0500000US36049,8,0
4/6/2020,Livingston,0500000US36051,26,1
4/6/2020,Madison,0500000US36053,92,2
4/6/2020,Monroe,0500000US36055,574,23
4/6/2020,Montgomery,0500000US36057,15,1
4/6/2020,Nassau,0500000US36059,15616,535
4/6/2020,New York City,0500000US,72181,3485
4/6/2020,Niagara,0500000US36063,130,0
4/6/2020,Oneida,0500000US36065,100,2
4/6/2020,Onondaga,0500000US36067,377,6
4/6/2020,Ontario,0500000US36069,39,0
4/6/2020,Orange,0500000US36071,3397,47
4/6/2020,Orleans,0500000US36073,13,0
4/6/2020,Oswego,0500000US36075,33,2
