Thu Sep 24 01:37:16 +0000 2020,RT @AndrewSolender,"Biden campaign refers to @AndrewBatesNC statement from July: ""The American people will decide this election. And the United States government is perfectly capable of escorting trespassers out of the White House.”",12776692,Darian Shirazi,17676
Thu Sep 24 01:37:15 +0000 2020,,Imagine thinking there's an equivalence between the prospect of a Biden administration split between normal liberals and CRT enthusiasts and the overflowing septic tank that is the current administration.,1177332900943093760,Robert Showah,53
Thu Sep 24 01:37:16 +0000 2020,RT @Rparkerscience,"You know Hiden' Biden knew too!! Obama Admin Knew Hunter Biden’s Ukraine Work Was Suspect, but Ignored Warnings, Senate GOP Report Finds https://t.co/8gXh40umLo  Follow me @Rparkerscience !",1585580743,Christy at Red Hat Chat 🇺🇸,15419
Thu Sep 24 01:37:16 +0000 2020,RT @JoJoFromJerz,This is not fucking normal.,2918111,John Baskind,1816
Thu Sep 24 01:37:16 +0000 2020,RT @AndrewHClark,"🚨Trump campaign statement on Senate report on Hunter Biden:   “Page 17 of this report reveals that Joe Biden flat out lied when he said he had never spoken with Hunter about his foreign business dealings."" https://t.co/q8s6Ot4xZ8",1932402193,EMaxx,6191
Thu Sep 24 01:37:16 +0000 2020,,"Carnival barker can do just what a name say ""bark"". He is in for  very rude awakening when he finds that Supreme Court does not owe him loyalty. He will be ""accepting"" the verdict and with tail between his legs fly to Mar-a-Lago and next day be in omelet line with his customers.",4859678724,Srb T.,4
Thu Sep 24 01:37:16 +0000 2020,RT @AndrewFeinberg,"If you're surprised that @TeamTrump is gaming out whether they can use @GOP-controlled state legislatures to override the popular vote and hand swing state electoral votes to @realDonaldTrump, you should have read this reporting I did BACK IN MAY.  https://t.co/PcgWZrIaPn",1222263013,Sabriga Turgon,116
Thu Sep 24 01:37:16 +0000 2020,,"Romney must be referring to the Democrats response to Trump winning in 2016, and their threat to continue rioting if Trump wins again this year.",1272435403430047744,Jon David Knowlton,4411
Thu Sep 24 01:37:16 +0000 2020,RT @AmyLance10,@NYinLA2121 Dr. Fauci finished first in his class and has been the leading infectious disease expert in the country for decades!  Rand Paul finished last in his class and has absolutely no knowledge of infectious disease and cares more about trying to please Trump than people’s lives!,883517318323556353,LadyLyngar,156
Thu Sep 24 01:37:16 +0000 2020,,Jeeze -- really ??  That bad ??,1177426508262125568,Spence,312
Thu Sep 24 01:37:16 +0000 2020,RT @DanRather,This is where we are. Will any Republican stand up?,282315626,patricia,28
Thu Sep 24 01:37:16 +0000 2020,,"I’m not worried about impeachment, I’m worried about votes not getting counted and Trump stealing the election",2894491825,TØMMY aka RØ,307
Thu Sep 24 01:37:16 +0000 2020,RT @RepAdamSchiff,This is how democracy dies.  A president so desperate to cling to power that he won’t commit to a peaceful transition of power.  That he seeks to throw out millions of votes.  And a Republican Party too craven to say a word.  But we will fight back. America belongs to the people.,1534093849,Lothar the Fellhanded,104
Thu Sep 24 01:37:16 +0000 2020,,Corruption in Trump Administration is running rampant!! DHS Secretary Chad Wolfe has awarded $6million in #DHS contracts to his wife!! WTH?,37497782,Paula Stafford,256
Thu Sep 24 01:37:16 +0000 2020,RT @SeanEldridge,"Trump is behind in the polls. He's desperate, and he's trying to bully and cheat his way through this election.  We must be prepared to protect the results. That's why @StandUpAmerica and @IndivisibleTeam created a 90+ org coalition to get ready. Join us: https://t.co/aFHTqLoOh9",32283017,Michael F Ozaki MD,28033
Thu Sep 24 01:37:16 +0000 2020,RT @thomaskaine5,REPUBLICANS are abandoning trump and republicans in doves.  They see his grab for dictatorship and say screw that.  USA needs to remain a democracy and not become like Nazi Germany or North Korea.,2815458440,Pedro Santiago,54
Thu Sep 24 01:37:16 +0000 2020,RT @girlsreallyrule,"Uh, NO. No Biden supporter would not spray paint Biden2020 like that with an anarchy symbol next to it. If the alt-right spent as much time doing something productive as they do being so destructive and blaming it on Antifa, this country would be amazing.",1003131194266046465,Michelle Hansen,98
Thu Sep 24 01:37:16 +0000 2020,,@PamelaGeller Trump and Linda Sarsour are both vile anti-semites.,132652980,Peterd,44
Thu Sep 24 01:37:16 +0000 2020,RT @ZerlinaMaxwell,You should know by now that Donald Trump doesn’t make jokes. He’s never joking. This is serious.,49800332,Matt Murphy,30339
Thu Sep 24 01:37:16 +0000 2020,RT @CynthiaHRivas,"My dad is one of 200k+ people that died of COVID-19. He was super healthy, didn't have any pre-existing conditions, &amp; didn't even have gray hair. He still DIED after a 3 week battle with COVID-19. Please register to vote and VOTE for people that believe in SCIENCE.",2571852937,🥀La Bruja del 71🥀,220
